CHR	BP	aa
1	78876384	1:78876384
1	78998737	1:78998737
1	79078313	1:79078313
1	79115140	1:79115140
1	79227835	1:79227835
1	79239427	1:79239427
1	79239458	1:79239458
1	79386327	1:79386327
1	79462415	1:79462415
1	79468126	1:79468126
1	79689893	1:79689893
1	79877319	1:79877319
1	79968266	1:79968266
1	79968276	1:79968276
1	79968292	1:79968292
1	79992537	1:79992537
1	80244040	1:80244040
1	80244059	1:80244059
1	80335271	1:80335271
1	80634899	1:80634899
1	80688940	1:80688940
1	80688947	1:80688947
1	80754565	1:80754565
1	80769784	1:80769784
1	80848559	1:80848559
1	80848760	1:80848760
1	80872519	1:80872519
1	80912896	1:80912896
1	80912898	1:80912898
1	80912899	1:80912899
1	80928661	1:80928661
1	80942879	1:80942879
1	80947385	1:80947385
1	81029199	1:81029199
1	81029215	1:81029215
1	81029224	1:81029224
1	81050835	1:81050835
1	81092737	1:81092737
1	81092770	1:81092770
1	81093022	1:81093022
1	81093110	1:81093110
1	81103358	1:81103358
1	81107428	1:81107428
1	81277547	1:81277547
1	81422403	1:81422403
1	81479081	1:81479081
1	81486507	1:81486507
1	81486515	1:81486515
1	81486518	1:81486518
1	81486568	1:81486568
1	81529864	1:81529864
1	81591426	1:81591426
1	81777157	1:81777157
1	81956346	1:81956346
1	81994619	1:81994619
1	81994632	1:81994632
1	82003743	1:82003743
1	82010894	1:82010894
1	82146077	1:82146077
1	82211436	1:82211436
1	82211481	1:82211481
1	82279360	1:82279360
1	82279362	1:82279362
1	82279401	1:82279401
1	82282465	1:82282465
1	82282493	1:82282493
1	82350706	1:82350706
1	82531367	1:82531367
1	82699142	1:82699142
1	82750975	1:82750975
1	82772040	1:82772040
1	82821405	1:82821405
1	82836589	1:82836589
1	82856326	1:82856326
1	82872752	1:82872752
1	82872774	1:82872774
1	82873934	1:82873934
1	82894276	1:82894276
1	83015048	1:83015048
1	83092670	1:83092670
1	83092698	1:83092698
1	83272428	1:83272428
1	83317152	1:83317152
1	83317165	1:83317165
1	83395656	1:83395656
1	83443485	1:83443485
1	83634848	1:83634848
1	83650472	1:83650472
1	83719310	1:83719310
1	83719878	1:83719878
1	83719883	1:83719883
1	83755256	1:83755256
1	83781396	1:83781396
1	83781397	1:83781397
1	83794912	1:83794912
1	83794918	1:83794918
1	83794931	1:83794931
1	83795150	1:83795150
1	83795152	1:83795152
1	83845350	1:83845350
1	83935452	1:83935452
1	83976359	1:83976359
1	83976363	1:83976363
1	84015326	1:84015326
1	84038753	1:84038753
1	84083740	1:84083740
1	84186357	1:84186357
1	84323418	1:84323418
1	84369484	1:84369484
1	84369492	1:84369492
1	84369493	1:84369493
1	84370302	1:84370302
1	84370352	1:84370352
1	84390086	1:84390086
1	84460095	1:84460095
1	84526599	1:84526599
1	84530779	1:84530779
1	84726310	1:84726310
1	84857055	1:84857055
1	84941711	1:84941711
1	84943164	1:84943164
1	84992279	1:84992279
1	84992288	1:84992288
1	84998213	1:84998213
1	84998223	1:84998223
1	85030148	1:85030148
1	85030196	1:85030196
1	85034904	1:85034904
1	85040701	1:85040701
1	85049998	1:85049998
1	85067076	1:85067076
1	85067081	1:85067081
1	85067090	1:85067090
1	85067129	1:85067129
1	85104649	1:85104649
1	85104661	1:85104661
1	85110292	1:85110292
1	85112327	1:85112327
1	85112338	1:85112338
1	85112362	1:85112362
1	85112364	1:85112364
1	85155412	1:85155412
1	85169386	1:85169386
1	85169420	1:85169420
1	85169451	1:85169451
1	85227419	1:85227419
1	85315177	1:85315177
1	85346290	1:85346290
1	85346291	1:85346291
1	85346307	1:85346307
1	85368059	1:85368059
1	85474449	1:85474449
1	85518324	1:85518324
1	85518335	1:85518335
1	85551946	1:85551946
1	85551985	1:85551985
1	85562690	1:85562690
1	85562701	1:85562701
1	85706603	1:85706603
1	85723758	1:85723758
1	85723767	1:85723767
1	85754019	1:85754019
1	85754060	1:85754060
1	85773397	1:85773397
1	85995485	1:85995485
1	86090888	1:86090888
1	86104663	1:86104663
1	86213369	1:86213369
1	86275673	1:86275673
1	86319342	1:86319342
1	86326043	1:86326043
1	86326058	1:86326058
1	86378878	1:86378878
1	86398026	1:86398026
1	86408048	1:86408048
1	86408250	1:86408250
1	86434328	1:86434328
1	86466404	1:86466404
1	86530641	1:86530641
1	86597143	1:86597143
1	86626974	1:86626974
1	86752360	1:86752360
1	86752372	1:86752372
1	86752397	1:86752397
1	86835055	1:86835055
1	86911577	1:86911577
1	86926017	1:86926017
1	86955288	1:86955288
1	87056329	1:87056329
1	87067798	1:87067798
1	87098224	1:87098224
1	87129671	1:87129671
1	87170719	1:87170719
1	87181370	1:87181370
1	87241382	1:87241382
1	87373671	1:87373671
1	87373677	1:87373677
1	87373687	1:87373687
1	87385472	1:87385472
1	87473054	1:87473054
1	87473514	1:87473514
1	87562144	1:87562144
1	87579800	1:87579800
1	87824380	1:87824380
1	87910203	1:87910203
1	87928658	1:87928658
1	87928669	1:87928669
1	88116164	1:88116164
1	88188192	1:88188192
1	88194318	1:88194318
1	88272479	1:88272479
1	88371928	1:88371928
1	88486500	1:88486500
1	88490476	1:88490476
1	88536338	1:88536338
1	88606113	1:88606113
1	88812046	1:88812046
1	88866576	1:88866576
1	88947566	1:88947566
1	88969582	1:88969582
1	88969967	1:88969967
1	89086378	1:89086378
1	89086416	1:89086416
1	89102132	1:89102132
1	89158052	1:89158052
1	89170604	1:89170604
1	89171289	1:89171289
1	89171320	1:89171320
1	89181027	1:89181027
1	89188326	1:89188326
1	89290401	1:89290401
1	89338437	1:89338437
1	89598065	1:89598065
1	89682056	1:89682056
1	90006951	1:90006951
2	259222	2:259222
2	328692	2:328692
2	609880	2:609880
2	640556	2:640556
2	701677	2:701677
2	743051	2:743051
2	759017	2:759017
2	868056	2:868056
2	953126	2:953126
2	977669	2:977669
2	977719	2:977719
2	1037909	2:1037909
2	1066556	2:1066556
2	1071323	2:1071323
2	1122696	2:1122696
2	1135395	2:1135395
2	1183771	2:1183771
2	1186908	2:1186908
2	1302605	2:1302605
2	1306262	2:1306262
2	1325428	2:1325428
2	1341598	2:1341598
2	1341650	2:1341650
2	1514128	2:1514128
2	1540236	2:1540236
2	1551312	2:1551312
2	1606745	2:1606745
2	1660315	2:1660315
2	1667929	2:1667929
2	1667952	2:1667952
2	1751055	2:1751055
2	1768657	2:1768657
2	1770538	2:1770538
2	1853442	2:1853442
2	1892080	2:1892080
2	1908074	2:1908074
2	1908092	2:1908092
2	1920658	2:1920658
2	1946753	2:1946753
2	2033964	2:2033964
2	2042931	2:2042931
2	2096377	2:2096377
2	2096410	2:2096410
2	2110137	2:2110137
2	2132462	2:2132462
2	2132489	2:2132489
2	2138723	2:2138723
2	2156063	2:2156063
2	2244362	2:2244362
2	2244377	2:2244377
2	2336090	2:2336090
2	2336107	2:2336107
2	2418479	2:2418479
2	2418494	2:2418494
2	2474584	2:2474584
2	2502328	2:2502328
2	2505104	2:2505104
2	2537597	2:2537597
2	2572614	2:2572614
2	2572647	2:2572647
2	2572653	2:2572653
2	2572685	2:2572685
2	2676850	2:2676850
2	2683054	2:2683054
2	2683076	2:2683076
2	2685440	2:2685440
2	2685464	2:2685464
2	2685478	2:2685478
2	2693398	2:2693398
2	2732897	2:2732897
2	2733191	2:2733191
2	2733333	2:2733333
2	2733907	2:2733907
2	2733927	2:2733927
2	2769583	2:2769583
2	2769597	2:2769597
2	2769605	2:2769605
2	2784585	2:2784585
2	2813841	2:2813841
2	2840074	2:2840074
2	2847994	2:2847994
2	2908871	2:2908871
2	2908877	2:2908877
2	2912744	2:2912744
2	2917055	2:2917055
2	2944526	2:2944526
2	2972246	2:2972246
2	2980956	2:2980956
2	2987247	2:2987247
2	2987291	2:2987291
2	2987543	2:2987543
2	2987550	2:2987550
2	3042035	2:3042035
2	3059070	2:3059070
2	3066697	2:3066697
2	3097792	2:3097792
2	3097823	2:3097823
2	3113677	2:3113677
2	3173069	2:3173069
2	3183050	2:3183050
2	3231352	2:3231352
2	3231378	2:3231378
2	3269173	2:3269173
2	3269191	2:3269191
2	3288764	2:3288764
2	3309149	2:3309149
2	3309383	2:3309383
2	3309411	2:3309411
2	3309413	2:3309413
2	3341920	2:3341920
2	3357045	2:3357045
2	3367344	2:3367344
2	3367355	2:3367355
2	3448190	2:3448190
2	3551919	2:3551919
2	3661778	2:3661778
2	3661798	2:3661798
2	3779117	2:3779117
2	3787377	2:3787377
2	3821656	2:3821656
2	3899960	2:3899960
2	3948218	2:3948218
2	3954765	2:3954765
2	3973132	2:3973132
2	3975088	2:3975088
2	3975110	2:3975110
2	4012247	2:4012247
2	4027446	2:4027446
2	4027478	2:4027478
2	4027769	2:4027769
2	4040620	2:4040620
2	4254043	2:4254043
2	4254078	2:4254078
2	4271853	2:4271853
2	4271885	2:4271885
2	4313415	2:4313415
2	4327900	2:4327900
2	4327912	2:4327912
2	4355735	2:4355735
2	4359283	2:4359283
2	4359773	2:4359773
2	4378429	2:4378429
2	4505191	2:4505191
2	4524012	2:4524012
2	4538547	2:4538547
2	4584584	2:4584584
2	4584746	2:4584746
2	4584748	2:4584748
2	4584764	2:4584764
2	4609556	2:4609556
2	4609603	2:4609603
2	4619008	2:4619008
2	4644848	2:4644848
2	4672736	2:4672736
2	4729055	2:4729055
2	4757816	2:4757816
2	4768285	2:4768285
2	4771676	2:4771676
2	4771686	2:4771686
2	4914579	2:4914579
2	4977310	2:4977310
2	4979779	2:4979779
2	4979795	2:4979795
2	4979798	2:4979798
2	5010895	2:5010895
2	5045446	2:5045446
2	5045480	2:5045480
2	5182103	2:5182103
2	5182179	2:5182179
2	5221771	2:5221771
2	5221783	2:5221783
2	5238116	2:5238116
2	5254608	2:5254608
2	5263134	2:5263134
2	5263138	2:5263138
2	5349691	2:5349691
2	5393084	2:5393084
2	5393102	2:5393102
2	5424618	2:5424618
2	5445273	2:5445273
2	5581807	2:5581807
2	5585983	2:5585983
2	5624519	2:5624519
2	5731369	2:5731369
2	5806966	2:5806966
2	5806984	2:5806984
2	5913817	2:5913817
2	5971637	2:5971637
2	5971638	2:5971638
2	5971644	2:5971644
2	5972329	2:5972329
2	6020345	2:6020345
2	6044288	2:6044288
2	6044292	2:6044292
2	6062625	2:6062625
2	6062634	2:6062634
2	6062654	2:6062654
2	6066368	2:6066368
2	6201267	2:6201267
2	6225594	2:6225594
2	6305083	2:6305083
2	6332550	2:6332550
2	6342684	2:6342684
2	6410389	2:6410389
2	6432710	2:6432710
2	6653848	2:6653848
2	6678956	2:6678956
2	6678967	2:6678967
2	6754702	2:6754702
2	6863153	2:6863153
2	6863169	2:6863169
2	7020752	2:7020752
2	7023590	2:7023590
2	7029079	2:7029079
2	7029161	2:7029161
2	7038986	2:7038986
2	7192553	2:7192553
2	7192568	2:7192568
2	7483869	2:7483869
2	7631278	2:7631278
2	7631304	2:7631304
2	7675904	2:7675904
2	7675927	2:7675927
2	7848943	2:7848943
2	7848966	2:7848966
2	7848967	2:7848967
2	8044915	2:8044915
2	8215211	2:8215211
2	8215222	2:8215222
2	8364905	2:8364905
2	8364946	2:8364946
2	8385850	2:8385850
2	8439715	2:8439715
2	8726724	2:8726724
2	8726774	2:8726774
2	8726800	2:8726800
2	8726812	2:8726812
2	8905512	2:8905512
2	8919776	2:8919776
2	8933162	2:8933162
2	8933249	2:8933249
2	8993032	2:8993032
2	8993050	2:8993050
2	9001356	2:9001356
2	9001358	2:9001358
2	9029088	2:9029088
2	9029091	2:9029091
2	9029098	2:9029098
2	9136563	2:9136563
2	9169751	2:9169751
2	9169775	2:9169775
2	9268115	2:9268115
2	9307409	2:9307409
2	9307444	2:9307444
2	9809128	2:9809128
2	9809147	2:9809147
2	9809171	2:9809171
2	9847945	2:9847945
2	9924929	2:9924929
2	9924965	2:9924965
2	10164108	2:10164108
2	10318407	2:10318407
2	10335999	2:10335999
2	10398951	2:10398951
2	10511198	2:10511198
2	10571158	2:10571158
2	10667400	2:10667400
2	10667415	2:10667415
2	10667627	2:10667627
2	10667703	2:10667703
2	10726448	2:10726448
2	10851995	2:10851995
2	10951472	2:10951472
2	11095152	2:11095152
2	11141914	2:11141914
2	11143082	2:11143082
2	11143097	2:11143097
2	11143135	2:11143135
2	11242620	2:11242620
2	11242647	2:11242647
2	11248083	2:11248083
2	11369470	2:11369470
2	11421392	2:11421392
2	11607485	2:11607485
2	11607522	2:11607522
2	11748851	2:11748851
2	11748861	2:11748861
2	11786510	2:11786510
2	11786537	2:11786537
2	11811004	2:11811004
2	11822648	2:11822648
2	11871821	2:11871821
2	11872584	2:11872584
2	11872615	2:11872615
2	11872855	2:11872855
2	11873076	2:11873076
2	11891968	2:11891968
2	11960857	2:11960857
2	11976931	2:11976931
2	11998442	2:11998442
2	12113052	2:12113052
2	12360914	2:12360914
2	12470779	2:12470779
2	12569339	2:12569339
2	12569340	2:12569340
2	12601150	2:12601150
2	12601174	2:12601174
2	12601183	2:12601183
2	12624757	2:12624757
2	12624758	2:12624758
2	12796939	2:12796939
2	12850233	2:12850233
2	12850244	2:12850244
2	12884259	2:12884259
2	13404788	2:13404788
2	13452461	2:13452461
2	13520605	2:13520605
2	13548959	2:13548959
2	13750447	2:13750447
2	13763403	2:13763403
2	13763434	2:13763434
2	13784947	2:13784947
2	13784951	2:13784951
2	13804703	2:13804703
2	13814195	2:13814195
2	13814212	2:13814212
2	13820703	2:13820703
2	13820726	2:13820726
2	13843905	2:13843905
2	14044699	2:14044699
2	14074004	2:14074004
2	14146504	2:14146504
2	14146538	2:14146538
2	14211792	2:14211792
2	14248108	2:14248108
2	14248119	2:14248119
2	14248146	2:14248146
2	14263962	2:14263962
2	14425567	2:14425567
2	14439179	2:14439179
2	14439200	2:14439200
2	14439227	2:14439227
2	14444757	2:14444757
2	14444781	2:14444781
2	14552646	2:14552646
2	14599128	2:14599128
2	14604925	2:14604925
2	14649449	2:14649449
2	14676378	2:14676378
2	14766829	2:14766829
2	14766876	2:14766876
2	14902068	2:14902068
2	14902081	2:14902081
2	14934670	2:14934670
2	14934702	2:14934702
2	15015678	2:15015678
2	15031570	2:15031570
2	15047358	2:15047358
2	15086537	2:15086537
2	15164079	2:15164079
2	15164080	2:15164080
2	15190354	2:15190354
2	15218599	2:15218599
2	15218629	2:15218629
2	15691221	2:15691221
2	15716208	2:15716208
2	15748771	2:15748771
2	15825433	2:15825433
2	15878012	2:15878012
2	15894159	2:15894159
2	15919037	2:15919037
2	15989194	2:15989194
2	15989197	2:15989197
2	15989209	2:15989209
2	16021349	2:16021349
2	16037675	2:16037675
2	16037709	2:16037709
2	16048063	2:16048063
2	16048065	2:16048065
2	16056931	2:16056931
2	16056933	2:16056933
2	16078503	2:16078503
2	16104286	2:16104286
2	16135947	2:16135947
2	16209099	2:16209099
2	16246619	2:16246619
2	16463671	2:16463671
2	16608166	2:16608166
2	16608169	2:16608169
2	16769300	2:16769300
2	16842501	2:16842501
2	16842526	2:16842526
2	17002503	2:17002503
2	17036657	2:17036657
2	17081678	2:17081678
2	17384353	2:17384353
2	17432404	2:17432404
2	17501322	2:17501322
2	17501330	2:17501330
2	17594812	2:17594812
2	17645502	2:17645502
2	17719966	2:17719966
2	18237616	2:18237616
2	18309167	2:18309167
2	18467504	2:18467504
2	18467508	2:18467508
2	18602948	2:18602948
2	18840091	2:18840091
2	18874415	2:18874415
2	18894775	2:18894775
2	19046263	2:19046263
2	19235149	2:19235149
2	19312468	2:19312468
2	19312490	2:19312490
2	19364186	2:19364186
2	19523608	2:19523608
2	19527239	2:19527239
2	19542855	2:19542855
2	19639903	2:19639903
2	19639914	2:19639914
2	19709290	2:19709290
2	19901777	2:19901777
2	19968489	2:19968489
2	19969864	2:19969864
2	19971353	2:19971353
2	20323479	2:20323479
2	20323480	2:20323480
2	20389832	2:20389832
2	20389847	2:20389847
2	20662434	2:20662434
2	20664155	2:20664155
2	20664174	2:20664174
2	20753822	2:20753822
2	20753824	2:20753824
2	20784163	2:20784163
2	20815333	2:20815333
2	20862103	2:20862103
2	20862136	2:20862136
2	21050804	2:21050804
2	21050807	2:21050807
2	21051876	2:21051876
2	21051889	2:21051889
2	21222778	2:21222778
2	21270073	2:21270073
2	21328948	2:21328948
2	21385262	2:21385262
2	21499829	2:21499829
2	21704436	2:21704436
2	21704455	2:21704455
2	21897738	2:21897738
2	22228181	2:22228181
2	22246347	2:22246347
2	22297106	2:22297106
2	22297134	2:22297134
2	22301324	2:22301324
2	22373774	2:22373774
2	22373783	2:22373783
2	22491692	2:22491692
2	22696292	2:22696292
2	22696355	2:22696355
2	22698244	2:22698244
2	22698277	2:22698277
2	22716239	2:22716239
2	22923168	2:22923168
2	23257470	2:23257470
2	23257506	2:23257506
2	23304667	2:23304667
2	23304668	2:23304668
2	23304705	2:23304705
2	23615192	2:23615192
2	23622903	2:23622903
2	23622936	2:23622936
2	23839820	2:23839820
2	23839842	2:23839842
2	23977699	2:23977699
2	23986474	2:23986474
2	24332790	2:24332790
2	24332816	2:24332816
2	24373727	2:24373727
2	24423400	2:24423400
2	24423455	2:24423455
2	24606190	2:24606190
2	24625569	2:24625569
2	24860153	2:24860153
2	24875572	2:24875572
2	24875848	2:24875848
2	24941919	2:24941919
2	24941925	2:24941925
2	24941941	2:24941941
2	24945465	2:24945465
2	24945483	2:24945483
2	24945524	2:24945524
2	25117665	2:25117665
2	25117674	2:25117674
2	25117740	2:25117740
2	25117755	2:25117755
2	25354819	2:25354819
2	25354824	2:25354824
2	25361444	2:25361444
2	25434540	2:25434540
2	25509788	2:25509788
2	25763999	2:25763999
2	25854288	2:25854288
2	25870899	2:25870899
2	25870908	2:25870908
2	25894517	2:25894517
2	25929554	2:25929554
2	25929690	2:25929690
2	26031862	2:26031862
2	26033040	2:26033040
2	26033064	2:26033064
2	26182293	2:26182293
2	26262709	2:26262709
2	26414175	2:26414175
2	26440538	2:26440538
2	26440541	2:26440541
2	26446644	2:26446644
2	26446655	2:26446655
2	26575818	2:26575818
2	26575837	2:26575837
2	27004278	2:27004278
2	27004299	2:27004299
2	27241705	2:27241705
2	27782306	2:27782306
2	27860680	2:27860680
2	27860695	2:27860695
2	27860709	2:27860709
2	27860731	2:27860731
2	28179041	2:28179041
2	28182940	2:28182940
2	28273170	2:28273170
2	28361347	2:28361347
2	28370447	2:28370447
2	28468415	2:28468415
2	28609895	2:28609895
2	28609901	2:28609901
2	28609939	2:28609939
2	28890806	2:28890806
2	28890816	2:28890816
2	28890843	2:28890843
2	28946204	2:28946204
2	28951024	2:28951024
2	29262292	2:29262292
2	29333741	2:29333741
2	29415139	2:29415139
2	29415164	2:29415164
2	29415176	2:29415176
2	29465750	2:29465750
2	29712900	2:29712900
2	29712927	2:29712927
2	29738497	2:29738497
2	29747300	2:29747300
2	29830787	2:29830787
2	29830801	2:29830801
2	29830804	2:29830804
2	29830819	2:29830819
2	29830820	2:29830820
2	29858367	2:29858367
2	29858393	2:29858393
2	29940383	2:29940383
2	29950471	2:29950471
2	29967742	2:29967742
2	29967758	2:29967758
2	29967779	2:29967779
2	29967782	2:29967782
2	30019437	2:30019437
2	30103258	2:30103258
2	30103262	2:30103262
2	30103280	2:30103280
2	30212443	2:30212443
2	30422091	2:30422091
2	30464443	2:30464443
2	30540849	2:30540849
2	30821872	2:30821872
2	30821877	2:30821877
2	31256875	2:31256875
2	31387117	2:31387117
2	31441237	2:31441237
2	31869620	2:31869620
2	31869631	2:31869631
2	31953135	2:31953135
2	31953400	2:31953400
2	32159441	2:32159441
2	32159450	2:32159450
2	32159457	2:32159457
2	32234413	2:32234413
2	32240211	2:32240211
2	32240228	2:32240228
2	32240294	2:32240294
2	32477024	2:32477024
2	32581323	2:32581323
2	32581375	2:32581375
2	32696680	2:32696680
2	32762441	2:32762441
2	32810333	2:32810333
2	32872819	2:32872819
2	32872840	2:32872840
2	33021546	2:33021546
2	33021547	2:33021547
2	33090055	2:33090055
2	33090056	2:33090056
2	33241808	2:33241808
2	33294118	2:33294118
2	33570621	2:33570621
2	33612939	2:33612939
2	33615549	2:33615549
2	33616007	2:33616007
2	33616015	2:33616015
2	33630524	2:33630524
2	33632413	2:33632413
2	33632458	2:33632458
2	33788937	2:33788937
2	33831375	2:33831375
2	33831386	2:33831386
2	34079158	2:34079158
2	34195500	2:34195500
2	34298632	2:34298632
2	34504736	2:34504736
2	34504759	2:34504759
2	34573557	2:34573557
2	34573607	2:34573607
2	34699790	2:34699790
2	34704416	2:34704416
2	34764657	2:34764657
2	34800377	2:34800377
2	34827096	2:34827096
2	34918975	2:34918975
2	34971165	2:34971165
2	35096541	2:35096541
2	35107151	2:35107151
2	35170342	2:35170342
2	35170367	2:35170367
2	35528761	2:35528761
2	36069029	2:36069029
2	36069032	2:36069032
2	36198624	2:36198624
2	36226567	2:36226567
2	36613808	2:36613808
2	36615865	2:36615865
2	37733667	2:37733667
2	37910619	2:37910619
2	37948508	2:37948508
2	40710104	2:40710104
2	41121789	2:41121789
2	43061105	2:43061105
2	44792109	2:44792109
2	45330549	2:45330549
2	45923135	2:45923135
2	46309826	2:46309826
2	46616393	2:46616393
2	47159420	2:47159420
2	47643684	2:47643684
2	47716406	2:47716406
2	48523529	2:48523529
2	48672757	2:48672757
2	48726768	2:48726768
2	48787044	2:48787044
2	48787071	2:48787071
2	48950674	2:48950674
2	49210143	2:49210143
2	49354211	2:49354211
2	49354219	2:49354219
2	49529247	2:49529247
2	49683926	2:49683926
2	49810853	2:49810853
2	49868155	2:49868155
2	49868200	2:49868200
2	50355553	2:50355553
2	50355572	2:50355572
2	50453664	2:50453664
2	50453699	2:50453699
2	50502693	2:50502693
2	50599303	2:50599303
2	50599331	2:50599331
2	50749666	2:50749666
2	50938597	2:50938597
2	51084575	2:51084575
2	51088539	2:51088539
2	51137017	2:51137017
2	51137642	2:51137642
2	51202697	2:51202697
2	51341985	2:51341985
2	51534866	2:51534866
2	51635834	2:51635834
2	51645201	2:51645201
2	51645221	2:51645221
2	52006690	2:52006690
2	52006698	2:52006698
2	52247628	2:52247628
2	52247653	2:52247653
2	52262282	2:52262282
2	52262297	2:52262297
2	52262300	2:52262300
2	52277139	2:52277139
2	52277185	2:52277185
2	52277221	2:52277221
2	52277237	2:52277237
2	52362698	2:52362698
2	52545858	2:52545858
2	53517388	2:53517388
2	53517407	2:53517407
2	53517445	2:53517445
2	53607249	2:53607249
2	53607250	2:53607250
2	53876800	2:53876800
2	53876811	2:53876811
2	53894692	2:53894692
2	53894713	2:53894713
2	54001148	2:54001148
2	54001179	2:54001179
2	54001191	2:54001191
2	55275950	2:55275950
2	55389634	2:55389634
2	55389669	2:55389669
2	55582833	2:55582833
2	55948637	2:55948637
2	56015321	2:56015321
2	56018419	2:56018419
2	56452967	2:56452967
2	57250150	2:57250150
2	58416749	2:58416749
2	58694524	2:58694524
2	58694555	2:58694555
2	58729435	2:58729435
2	58746558	2:58746558
2	59098452	2:59098452
2	59363767	2:59363767
2	59419029	2:59419029
2	59733474	2:59733474
2	59763557	2:59763557
2	59763602	2:59763602
2	59856284	2:59856284
2	60188524	2:60188524
2	60251030	2:60251030
2	61760573	2:61760573
2	61900608	2:61900608
2	62110500	2:62110500
2	62494212	2:62494212
2	62494244	2:62494244
2	62763033	2:62763033
2	62763054	2:62763054
2	62764088	2:62764088
2	62764131	2:62764131
2	62896087	2:62896087
2	63225203	2:63225203
2	63275163	2:63275163
2	63404590	2:63404590
2	63404613	2:63404613
2	63423994	2:63423994
2	63468959	2:63468959
2	63501171	2:63501171
2	63570731	2:63570731
2	63570732	2:63570732
2	63630197	2:63630197
2	63630214	2:63630214
2	63630232	2:63630232
2	63721709	2:63721709
2	63721760	2:63721760
2	63775602	2:63775602
2	63823541	2:63823541
2	64019511	2:64019511
2	64035694	2:64035694
2	64092657	2:64092657
2	64092687	2:64092687
2	64357840	2:64357840
2	64357846	2:64357846
2	64525939	2:64525939
2	64566888	2:64566888
2	65317366	2:65317366
2	65409878	2:65409878
2	65409883	2:65409883
2	65409886	2:65409886
2	65409982	2:65409982
2	65630888	2:65630888
2	65630907	2:65630907
2	65922598	2:65922598
2	65985085	2:65985085
2	66011426	2:66011426
2	66186451	2:66186451
2	66236462	2:66236462
2	66236487	2:66236487
2	66352450	2:66352450
2	66352473	2:66352473
2	66457096	2:66457096
2	66553790	2:66553790
2	66553820	2:66553820
2	66571594	2:66571594
2	66571632	2:66571632
2	66726058	2:66726058
2	66943540	2:66943540
2	66943556	2:66943556
2	66966334	2:66966334
2	67044179	2:67044179
2	67044232	2:67044232
2	67095119	2:67095119
2	67152231	2:67152231
2	67152282	2:67152282
2	67152317	2:67152317
2	67152330	2:67152330
2	67166460	2:67166460
2	67242382	2:67242382
2	67386354	2:67386354
2	67702364	2:67702364
2	67794041	2:67794041
2	68061448	2:68061448
2	68061451	2:68061451
2	68061473	2:68061473
2	68115754	2:68115754
2	68115760	2:68115760
2	68115795	2:68115795
2	68134970	2:68134970
2	68148619	2:68148619
2	68148643	2:68148643
2	68148656	2:68148656
2	68154180	2:68154180
2	68154459	2:68154459
2	68328570	2:68328570
2	68367131	2:68367131
2	68367152	2:68367152
2	68367168	2:68367168
2	68367186	2:68367186
2	68374250	2:68374250
2	68397362	2:68397362
2	68397369	2:68397369
2	68447142	2:68447142
2	68457393	2:68457393
2	68482615	2:68482615
2	68711284	2:68711284
2	68935033	2:68935033
2	68935036	2:68935036
2	69091233	2:69091233
2	69142217	2:69142217
2	69142229	2:69142229
2	69201768	2:69201768
2	69201786	2:69201786
2	69269984	2:69269984
2	69269992	2:69269992
2	69278728	2:69278728
2	69278740	2:69278740
2	69321728	2:69321728
2	69376304	2:69376304
2	69506894	2:69506894
2	69609049	2:69609049
2	69646425	2:69646425
2	69646457	2:69646457
2	69646466	2:69646466
2	69831764	2:69831764
2	69849472	2:69849472
2	69857502	2:69857502
2	69957300	2:69957300
2	70113213	2:70113213
2	70215777	2:70215777
2	70215815	2:70215815
2	70291997	2:70291997
2	70292006	2:70292006
2	70292010	2:70292010
2	70473699	2:70473699
2	70562754	2:70562754
2	70562764	2:70562764
2	70562800	2:70562800
2	70577366	2:70577366
2	70588635	2:70588635
2	70706527	2:70706527
2	70706557	2:70706557
2	70816677	2:70816677
2	70861041	2:70861041
2	70861048	2:70861048
2	71095485	2:71095485
2	71099096	2:71099096
2	71108611	2:71108611
2	71137520	2:71137520
2	71323051	2:71323051
2	71323095	2:71323095
2	71351331	2:71351331
2	71575723	2:71575723
2	71575754	2:71575754
2	71576905	2:71576905
2	71740615	2:71740615
2	71740618	2:71740618
2	71766462	2:71766462
2	71766734	2:71766734
2	71806806	2:71806806
2	71807595	2:71807595
2	71909914	2:71909914
2	71909947	2:71909947
2	72004390	2:72004390
2	72004415	2:72004415
2	72015707	2:72015707
2	72142662	2:72142662
2	72161306	2:72161306
2	72176395	2:72176395
2	72187297	2:72187297
2	72187316	2:72187316
2	72187414	2:72187414
2	72187450	2:72187450
2	72237670	2:72237670
2	72237682	2:72237682
2	72337416	2:72337416
2	72337418	2:72337418
2	72337425	2:72337425
2	72337435	2:72337435
2	72793876	2:72793876
2	72849550	2:72849550
2	72859304	2:72859304
2	72943153	2:72943153
2	72943155	2:72943155
2	72943194	2:72943194
2	72943247	2:72943247
2	73378599	2:73378599
2	73613499	2:73613499
2	73613751	2:73613751
2	73649545	2:73649545
2	73649552	2:73649552
2	73649569	2:73649569
2	73655616	2:73655616
2	73659402	2:73659402
2	73773999	2:73773999
2	73800203	2:73800203
2	74227798	2:74227798
2	74470653	2:74470653
2	74470654	2:74470654
2	74486747	2:74486747
2	74527591	2:74527591
2	74564278	2:74564278
2	74805999	2:74805999
2	75007317	2:75007317
2	75020875	2:75020875
2	75024659	2:75024659
2	75024703	2:75024703
2	75024724	2:75024724
2	75024742	2:75024742
2	75029544	2:75029544
